name,release_date,revenue,director,rating_is_G,rating_is_Not Rated,rating_is_PG,rating_is_PG-13,rating_is_R,genre_is_Action,genre_is_Adventure,genre_is_Black Comedy,genre_is_Comedy,genre_is_Concert/Performance,genre_is_Documentary,genre_is_Drama,genre_is_Horror,genre_is_Musical,genre_is_Romantic Comedy,genre_is_Thriller/Suspense,genre_is_Western,month,day,season,budget,runtime,is_animation
Recess: School's Out,2001.1260273972605,90318396.21242236,0.814,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,16,1,16524844.720496893,82.0,0.0
D2: The Mighty Ducks,1994.2328767123288,186071575.466363,1.048,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,25,1,0.0,106.0,0.0
Home on the Range,2004.2520547945203,105210426.84346214,1.975,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,2,170418475.38380092,76.0,1.0
Young Black Stallion,2003.972602739726,14719185.018043477,4.61,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,25,4,0.0,49.0,0.0
What's Love Got to Do With It,1993.435616438356,161251102.4882353,0.946,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6,9,2,30379411.76470588,118.0,0.0
Lady and the Tramp,1955.4712328767123,13497461703.071827,3.353,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,22,2,43679850.74626865,76.0,1.0
Corky Romano,2001.772602739726,59003288.32453416,0.6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,12,4,18177329.19254658,86.0,0.0
The Waterboy,1998.838356164384,518325818.32279134,3.525,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,6,4,41294877.30061349,90.0,0.0
Captain America: The Winter Soldier,2014.2575342465752,331319979.87961274,5.668,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,2,210155405.17707485,136.0,0.0
Pirates of the Caribbean: Dead Man’…,2006.5123287671236,790890182.0040178,5.72,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,3,290332341.26984125,151.0,0.0
Ladder 49,2004.7424657534248,156724645.973928,0.6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,4,92955532.0275278,115.0,0.0
Coyote Ugly,2000.5863013698631,161572357.81672472,1.22,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,3,76477787.45644599,100.0,0.0
The Sixth Man,1997.2410958904109,49446111.74669781,1.863,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,28,1,0.0,107.0,0.0
Dick Tracy,1990.4520547945208,464019663.68596023,10.721,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,15,2,105239364.9579189,105.0,0.0
Sister Act 2 Back in the Habit,1993.9315068493152,236889879.3670588,15.218,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,10,4,76961176.47058822,107.0,0.0
DuckTales: The Movie - Treasure of th…,1990.5835616438355,80850305.58580719,3.075,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,3,3,,,0.0
Blame it on the Bellboy,1992.1808219178083,12249931.296400568,1.459,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6,1,0.0,78.0,0.0
The Hunchback of Notre Dame,1996.468493150685,356238540.2890057,1.646,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,21,2,186523263.22498405,91.0,1.0
Ernest Goes to Jail,1990.2630136986304,111956372.66572303,1.22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,6,2,0.0,81.0,0.0
Ant-Man,2015.5397260273971,222503297.285701,3.539,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,17,3,160516545.2267137,117.0,0.0
The Shaggy Dog,2006.1917808219175,114198492.76458332,1.199,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,10,1,72583085.31746031,98.0,0.0
The Life Aquatic with Steve Zissou,2004.9315068493152,49884051.76826363,8.961,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,12,10,4,77462943.35627314,119.0,0.0
Bridge to Terabithia,2007.1260273972605,142219756.75094768,4.417,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,16,1,84687617.55939461,96.0,0.0
Beauty and the Beast,1991.8575342465756,780021551.6584802,1.646,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,13,4,53717878.12041116,84.0,1.0
Miami Rhapsody,1995.07397260274,18929315.222604983,1.853,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27,1,0.0,95.0,0.0
A Bug's Life,1998.876712328767,518846250.4796932,8.261,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,20,4,215451533.7423313,95.0,0.0
3 Men and a Little Lady,1990.8794520547945,320440138.15757465,3.205,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,21,4,0.0,104.0,0.0
The Puppet Masters,1994.7972602739728,35006073.95502699,1.4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,10,21,4,0.0,109.0,0.0
Signs,2002.580821917808,538059701.7540022,16.355,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,3,117127070.59477486,106.0,0.0
Dead Presidents,1995.7506849315068,89758031.65935038,2.566,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,4,4,19203083.98950131,119.0,0.0
"McFarland, USA",2015.13698630137,54921692.87487817,1.449,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,20,1,0.0,128.0,0.0
George Of The Jungle,1997.5369863013696,352510937.6196884,1.114,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,16,3,100286760.12461057,93.0,0.0
Bound by Honor,1993.290410958904,18543763.06588235,4.51,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,16,2,70885294.11764705,190.0,0.0
The Avengers,2012.339726027397,841381179.8641078,5.449,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,2,280425882.2094654,143.0,0.0
Ten Things I Hate About You,1999.2493150684927,111290363.83928572,4.012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,31,1,28106122.448979594,97.0,0.0
Earth,2009.3068493150688,49082547.44659429,0.98,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,22,2,0.0,40.0,0.0
Hello Again,1987.838356164384,113415480.0571743,1.624,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,6,4,0.0,96.0,0.0
When a Man Loves a Woman,1994.3260273972603,204096637.28117406,0.813,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,29,2,0.0,126.0,0.0
Unbreakable,2000.8821917808216,251881973.99625435,14.507,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11,22,4,127462979.09407665,106.0,0.0
3 Men and a Baby,1987.890410958904,910256508.9047976,8.248,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,25,4,28338072.18309859,102.0,0.0
X Games 3D: The Movie,2009.6328767123289,2133456.682437062,0.6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,21,3,0.0,92.0,0.0
Cars 2,2011.4767123287672,264790822.0003423,8.261,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,24,2,260208323.14538607,106.0,0.0
The Princess Diaries 2: Royal Engagement,2004.6054794520549,200108793.0099788,3.482,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,11,3,61970354.68501852,113.0,0.0
The Jungle Book 2,2003.120547945205,106511919.26285325,0.711,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,14,1,31810326.086956516,72.0,0.0
Aspen Extreme,1993.0602739726028,32345881.21470588,0.936,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,22,1,0.0,113.0,0.0
Noises Off...,1992.219178082192,9661411.379900211,3.753,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,20,1,25031076.26514611,101.0,0.0
He Got Game,1998.331506849315,69603320.04257669,7.239,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,1,2,44885736.196319014,136.0,0.0
Bringing Down the House,2003.183561643836,295011397.6203804,4.369,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,7,1,31810326.086956516,105.0,0.0
Bon Voyage!,1962.3753424657532,1061907834.7725165,0.746,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,17,2,0.0,130.0,0.0
Doctor Strange,2016.8328767123287,283541407.4613032,3.182,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,4,4,201194444.32870704,115.0,0.0
Flubber,1997.8931506849317,310718328.4926168,1.883,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,26,4,145871651.09034264,93.0,0.0
Roving Mars,2006.07397260274,18796152.06535218,1.4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,27,1,0.0,40.0,0.0
Captain Ron,1992.7068493150684,95413406.44533141,1.36,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,18,3,50062152.53029222,100.0,0.0
Shadow Conspiracy,1997.0849315068488,7215222.126947041,4.684,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,31,1,82052803.73831774,103.0,0.0
Good Morning Vietnam,1987.9671232876717,655420546.8506602,5.391,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,12,23,4,33490448.94366197,121.0,0.0
Babes in Toyland,1961.9424657534248,1221919387.2842808,0.692,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,14,4,0.0,106.0,0.0
An Innocent Man,1989.7561643835616,96725814.71104838,2.164,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,6,4,0.0,113.0,0.0
Summer of Sam,1999.4986301369863,56225693.677551016,5.462,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,2,3,38645918.367346935,142.0,0.0
The Good Dinosaur,2015.890410958904,151980917.41773796,7.98,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,25,4,216079964.7282684,93.0,0.0
Angels in the Outfield,1994.5342465753424,204973334.50445345,2.207,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,15,3,61216632.92847504,102.0,0.0
Tough Guys,1986.7479452054797,130194583.38065693,1.4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,3,4,26702098.540145982,104.0,0.0
Something Wicked This Way Comes,1983.3260273972603,44476405.231676705,0.621,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,29,2,55827761.0441767,95.0,0.0
The Rocketeer,1991.468493150685,200382023.76516154,6.19,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,21,2,90246035.24229074,108.0,0.0
Stakeout,1987.5890410958905,364768077.3309859,3.37,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8,5,3,37354731.5140845,116.0,0.0
National Treasure 2: Book of Secrets,2007.9616438356163,376864873.53683764,4.334,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,21,4,183489838.045355,124.0,0.0
Terminal Velocity,1994.7205479452052,67236232.29639001,0.756,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,23,3,98736504.72334683,102.0,0.0
Apocalypto,2006.92602739726,94299288.29335317,61.837,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,12,8,4,58066468.25396825,139.0,0.0
Invincible,2006.6438356164383,108001981.86468254,2.772,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,25,3,0.0,105.0,0.0
25th Hour,2002.9561643835616,29811219.423374094,5.462,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12,19,4,8133824.346859365,135.0,0.0
Mighty Joe Young,1998.972602739726,157829096.4509816,3.394,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,25,4,161588650.30674845,114.0,0.0
Deceived,1991.731506849315,123646636.51038913,1.501,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,27,3,0.0,104.0,0.0
Never Cry Wolf,1983.758904109589,207649755.82856426,1.4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,7,4,0.0,105.0,0.0
G-Force,2009.558904109589,183129417.69699398,1.187,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,24,3,204618550.64627543,88.0,0.0
Feast of July,1995.7753424657533,1091391.9160761153,0.76,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,13,4,0.0,116.0,0.0
The Lookout,2007.2465753424656,7956469.419799171,3.555,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,30,1,22583364.68250523,99.0,0.0
Cool Runnings,1993.7424657534248,284336572.25470585,4.334,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,4,28354117.64705882,98.0,0.0
Alice Through the Looking Glass,2016.4027397260277,93942418.39427598,3.075,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,27,2,207291245.67200118,113.0,0.0
The Devil and Max Devlin,1981.0027397260276,156204944.30033,0.73,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0.0,96.0,0.0
The Chronicles of Narnia: Prince Caspian,2008.372602739726,226015459.86767483,9.219,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,16,2,305835845.2970929,150.0,0.0
The Insider,1999.835616438356,83956876.93979591,8.307,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11,5,4,158096938.7755102,158.0,0.0
Camp Nowhere,1994.6465753424657,42607432.128609985,2.121,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,26,3,0.0,96.0,0.0
The Rock,1996.4301369863012,476945029.5205544,14.853,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,7,2,139892447.418738,137.0,0.0
Green Card,1990.972602739726,133629656.33362661,5.522,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12,25,4,27989192.807957154,108.0,0.0
Real Steel,2011.758904109589,118197053.42535086,20.093,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,7,4,143114577.72996232,127.0,0.0
A Kid in King Arthur's Court,1995.6054794520549,49892079.80101705,0.825,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,11,3,0.0,89.0,0.0
The Last Flight of Noah’s Ark,1980.4794520547944,122432489.17451455,1.4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,25,2,0.0,97.0,0.0
African Cats,2011.3068493150688,21339100.41346765,1.121,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,22,2,6505208.078634651,89.0,0.0
Toy Story 3D Double Feature,2009.745205479452,47075287.209082805,3.075,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,2,4,,,0.0
Into the Woods,2014.972602739726,161812537.71811214,3.776,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,25,4,61810413.28737496,125.0,0.0
Finding Nemo,2003.4109589041093,824123731.1638315,11.255,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,30,2,149508532.60869563,100.0,0.0
The Good Mother,1988.8328767123287,24175962.375528317,8.248,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,4,4,34633727.810650885,104.0,0.0
The Hundred-Foot Journey,2014.5972602739728,69179956.3686765,4.624,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,8,3,27196581.846444983,122.0,0.0
Pearl Harbor,2001.3972602739725,488648105.88571423,14.853,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,25,2,231347826.08695647,183.0,0.0
Pirates of the Caribbean: At World’…,2007.3945205479447,535126884.29647624,5.72,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,24,2,423438087.796973,169.0,0.0
Color of Night,1994.627397260274,80578498.15438597,0.84,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,19,3,78989203.77867745,121.0,0.0
Romy and Michele's High School Reunion,1997.3150684931504,97904821.93395637,1.555,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,25,2,36467912.77258566,92.0,0.0
Cheetah,1989.6246575342464,39304210.81302419,0.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,18,3,11800604.838709675,83.0,0.0
Jack,1996.6,208519675.60267684,6.701,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,9,3,83935468.45124282,113.0,0.0
Monsters University,2013.468493150685,349737832.8054319,1.562,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,21,2,251252377.04812473,104.0,0.0
The Fifth Estate,2013.7890410958903,4238942.92253506,3.499,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,18,4,35175332.786737464,128.0,0.0
Before and After,1996.145205479452,30743862.86676226,3.036,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,23,1,65283142.12874441,108.0,0.0
Moonlight Mile,2002.731506849315,16119766.006503612,3.221,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9,27,3,34162062.25680933,117.0,0.0
A Stranger Among Us,1992.5397260273971,52045348.015395574,4.456,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,17,3,0.0,110.0,0.0
The Lizzie McGuire Movie,2003.3342465753424,95022519.3592663,0.84,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,2,27038777.173913043,94.0,0.0
Krippendorf's Tribe,1998.1561643835616,24433340.433220856,0.6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,27,1,0.0,94.0,0.0
crazy/beautiful,2001.490410958904,41666111.982298136,7.763,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,29,2,21482298.13664596,99.0,0.0
Adventures in Babysitting,1987.5013698630137,187684517.91985035,10.423,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3,3,18033318.66197183,102.0,0.0
The Game Plan,2007.717808219178,156687276.97470844,1.872,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,22,3,31052126.43844469,110.0,0.0
Splash,1984.1890410958904,442384117.2276707,18.352,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,9,1,22533589.99037536,111.0,0.0
Who Framed Roger Rabbit?,1988.4712328767123,782351380.6679628,10.341,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,22,2,173168639.0532544,104.0,0.0
The Light Between Oceans,2016.66301369863,15298068.324028049,0.817,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9,2,3,24387205.373176612,133.0,0.0
The Guardian,2006.7369863013696,102779612.90781249,4.896,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,29,3,14516617.063492062,139.0,0.0
The Sword in the Stone,1963.972602739726,1471603559.6166666,3.395,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,25,4,28691666.66666666,79.0,1.0
Mr. Holland's Opus,1995.983561643836,302465602.1295275,2.665,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,29,4,59529560.36745407,137.0,0.0
The Rescuers Down Under,1990.8657534246572,124936430.24361132,0.663,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,16,4,84932645.79188982,77.0,1.0
The Preacher's Wife,1996.9397260273968,169879563.02380496,2.141,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,13,4,74609305.28999361,124.0,0.0
Sarafina!,1992.7068493150684,30957917.81582323,2.757,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9,18,3,0.0,117.0,0.0
Trenchcoat,1983.194520547945,33846576.217821285,1.264,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,11,1,0.0,91.0,0.0
Confessions of a Teenage Drama Queen,2004.13698630137,61686171.03250396,2.612,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,20,1,23238883.00688195,89.0,0.0
Around the World in 80 Days,2004.454794520548,50483151.721439905,3.525,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,16,2,170418475.38380092,120.0,0.0
Blaze,1989.9397260273968,94132575.1548387,3.872,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,12,13,4,0.0,117.0,0.0
Toy Story,1995.8821917808216,711300725.4613189,8.261,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,22,4,57609251.96850394,81.0,0.0
Prince of Persia: Sands of Time,2010.4054794520548,130146171.87078089,4.526,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,28,2,268421873.28025824,116.0,0.0
Eddie,1996.4136986301369,111594939.73696621,3.104,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,31,2,55956978.96749522,100.0,0.0
White Fang 2: Myth of the White Wolf,1994.2876712328768,35711007.17995951,1.458,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,15,2,0.0,106.0,0.0
White Squall,1996.0876712328768,36390177.58145315,9.269,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,70878840.02549393,129.0,0.0
The Invisible,2007.3205479452056,35571859.420860216,5.887,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,27,2,42343808.77969731,102.0,0.0
Guilty as Sin,1993.4219178082192,93294612.52294117,6.137,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,4,2,0.0,107.0,0.0
Operation Dumbo Drop,1995.5698630136983,91808832.69524278,4.61,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,28,3,0.0,107.0,0.0
Ghosts of the Abyss,2003.2767123287672,37859231.36815217,18.791,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,11,2,20676711.95652174,61.0,0.0
Scenes from a Mall,1991.1424657534249,41146809.539096914,2.2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,22,1,6446145.374449339,89.0,0.0
The BFG,2016.495890410959,67654704.69340476,30.112,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,3,170710437.61223626,117.0,0.0
Tron,1982.517808219178,234078191.15259066,1.4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,9,3,51555803.10880829,96.0,0.0
Firelight,1998.668493150685,2531453.181993865,2.358,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,4,3,0.0,103.0,0.0
Delivery Man,2013.8821917808216,39932967.3977601,0.696,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,22,4,32662809.016256217,105.0,0.0
New York Stories,1989.1671232876715,53671182.87060483,6.701,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,35401814.51612903,124.0,0.0
Disorganized Crime,1989.2849315068493,35952820.1578629,2.47,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,14,2,0.0,98.0,0.0
Tom and Huck,1995.964383561644,88164271.70364171,1.355,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,22,4,0.0,97.0,0.0
Keeping the Faith,2000.2849315068493,98444250.82061556,24.012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,14,2,50985191.637630664,127.0,0.0
Grosse Pointe Blank,1997.2767123287672,94050316.71912771,1.258,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,11,2,27350934.579439253,107.0,0.0
Indian Summer,1993.309589041096,60695944.22294117,3.014,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,23,2,0.0,97.0,0.0
The Princess and the Frog,2009.890410958904,158670032.31766546,4.14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,25,4,143232985.45239282,98.0,1.0
Billy Bathgate,1991.8246575342464,66970489.05730543,2.176,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11,1,4,103138325.99118942,106.0,0.0
3 Ninjas Kick Back,1994.345205479452,47921079.310863696,1.509,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,6,2,39494601.889338724,93.0,0.0
My Boyfriend's Back,1993.5917808219176,13274555.359999998,6.574,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,6,3,0.0,85.0,0.0
Goal! The Dream Begins,2006.3616438356164,8002498.550520833,3.075,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,12,2,,,0.0
